case_SUMleges_seq,action_code_seq,activityNameEN_seq,case_caseStatus_seq,case_Responsible_actor_seq,concept_name_seq,case_last_phase_seq,case_requestComplete_seq,case_parts_seq,question_seq,case_termName_seq,monitoringResource_seq,org_resource_seq,delta,delta_p,delta_df,duration,duration_df,duration_p,cluster
116.79765/116.79765/116.79765/116.79765/116.79765/116.79765,01HOOFD010/09AHI010/01HOOFD370/05EIND010/06VD010/01HOOFD430,registersubmissiondaterequest/article34WABOapplies/assessmentofcontentcompleted/terminateonrequest/extendprocedureterm/askstakeholdersviews,G/G/G/G/G/G,560912/560912/560912/560912/560912/560912,ArtificialStartTask/01HOOFD/09AH/01HOOFD/05EIND/06VD/01HOOFD/ArtificialEndTask,Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend,1/1/1/1/1/1,Sloop/Sloop/Sloop/Sloop/Sloop/Sloop,EMPTY/False/EMPTY/False/False/False,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560912/560912/560912/560912/560912/560912,560912/560881/560881/560890/560890/560890,0/1/43/0/0/0/0/8,0/35/0/-35/0/35,0/35/0/0/0/0,52,35,35,1
116.79765/116.79765/116.79765/116.79765/116.79765/116.79765/116.79765/116.79765/116.79765/116.79765,01HOOFD010/06VD0202/01HOOFD110/06VD010/01HOOFD1902/09AHI010/01HOOFD375/05EIND010/06VD100/01HOOFD4901,registersubmissiondaterequest/enterdatedecisionproceduretermextension/treatsubcasescompleteness/extendprocedureterm/entersenddateprocedureconfirmation/article34WABOapplies/phaseadviceknown/terminateonrequest/objectiontoextensionproceduretermreceptive/creatingenvironmentalpermitdecision,O/O/O/O/O/O/O/O/O/O,560464/560464/560464/560464/560464/560464/560464/560464/560464/560464,ArtificialStartTask/01HOOFD/06VD/01HOOFD/06VD/01HOOFD/09AH/01HOOFD/05EIND/06VD/01HOOFD/ArtificialEndTask,Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend,1/1/1/1/1/1/1/1/1/1,Sloop/Sloop/Sloop/Sloop/Sloop/Sloop/Sloop/Sloop/Sloop/Sloop,EMPTY/EMPTY/EMPTY/True/EMPTY/False/EMPTY/False/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560912/560912/560912/560912/560912/560912/560464/560912/560912/560464,560912/560890/560890/560890/2670601/2670601/2670601/560890/560890/560890,0/1/51/1/0/33/0/0/7/0/0/8,0/51/-51/0/84/0/0/-84/51/0,0/0/0/0/0/0/0/0/0/0,101,0,84,1
116.79765/116.79765/116.79765/116.79765/116.79765/116.79765,01HOOFD010/09AHI010/01HOOFD370/05EIND010/06VD010/01HOOFD430,registersubmissiondaterequest/article34WABOapplies/assessmentofcontentcompleted/terminateonrequest/extendprocedureterm/askstakeholdersviews,G/G/G/G/G/G,4901428/4901428/4901428/4901428/4901428/4901428,ArtificialStartTask/01HOOFD/09AH/01HOOFD/05EIND/06VD/01HOOFD/ArtificialEndTask,Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend,1/1/1/1/1/1,Sloop/Sloop/Sloop/Sloop/Sloop/Sloop,EMPTY/False/EMPTY/False/False/False,Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit,560912/560912/560912/560912/560912/560912,560912/560881/560881/560890/560890/560890,0/1/44/0/6/0/0/2,0/36/0/-36/0/36,0/36/0/6/0/0,53,42,36,1
116.79765/116.79765/116.79765/116.79765/116.79765/116.79765,01HOOFD010/05EIND010/06VD010/01HOOFD120/09AHI010/01HOOFD370,registersubmissiondaterequest/terminateonrequest/extendprocedureterm/subcasescompletenesscompleted/article34WABOapplies/assessmentofcontentcompleted,G/G/G/G/G/G,4901428/4901428/4901428/4901428/4901428/4901428,ArtificialStartTask/01HOOFD/05EIND/06VD/01HOOFD/09AH/01HOOFD/ArtificialEndTask,Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend,1/1/1/1/1/1,Sloop/Sloop/Sloop/Sloop/Sloop/Sloop,EMPTY/False/False/EMPTY/False/EMPTY,Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit,560925/560925/560925/560925/560925/560925,560925/2670601/2670601/2670601/2670601/2670601,0/1/48/0/0/0/0/3,0/0/0/0/39/0,0/39/0/0/0/0,52,39,39,1
0/0/0/0/0/0/0/0/0,01HOOFD010/05EIND010/01HOOFD130/06VD010/01HOOFD180/09AHI010/01HOOFD370/01BB540/01HOOFD790,registersubmissiondaterequest/terminateonrequest/WAWpermitaspect/extendprocedureterm/activitiesregularprocedure/article34WABOapplies/assessmentofcontentcompleted/objectionlodgedagainstdecision/closecase,G/G/G/G/G/G/G/G/G,560925/560925/560925/560925/560925/560925/560925/560925/560925,ArtificialStartTask/01HOOFD/05EIND/01HOOFD/06VD/01HOOFD/09AH/01HOOFD/01BB/01HOOFD/ArtificialEndTask,Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend,1/1/1/1/1/1/1/1/1,Kap/Kap/Kap/Kap/Kap/Kap/Kap/Kap/Kap,EMPTY/False/False/False/True/False/EMPTY/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560925/560925/560925/560925/560925/560925/560925/560925/560925,560925/560925/560925/560872/560872/560872/560872/560872/560872,0/1/2/0/25/0/0/0/53/0/0,0/0/0/0/25/0/0/0/0,0/0/0/25/0/0/0/53/0,81,78,25,1
0/0/0/0/0/0/0/0,01HOOFD010/05EIND010/06VD010/01HOOFD120/09AHI010/01HOOFD375/01BB540/01HOOFD790,registersubmissiondaterequest/terminateonrequest/extendprocedureterm/subcasescompletenesscompleted/article34WABOapplies/phaseadviceknown/objectionlodgedagainstdecision/closecase,G/G/G/G/G/G/G/G,560925/560925/560925/560925/560925/560925/560925/560925,ArtificialStartTask/01HOOFD/05EIND/06VD/01HOOFD/09AH/01HOOFD/01BB/01HOOFD/ArtificialEndTask,Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend,1/1/1/1/1/1/1/1,Kap/Kap/Kap/Kap/Kap/Kap/Kap/Kap,EMPTY/False/False/EMPTY/False/EMPTY/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560925/560925/560925/560925/560925/560925/560925/560925,560925/560872/560872/560872/560872/560872/560872/560872,0/1/23/0/0/0/0/57/0/0,0/0/0/21/0/0/0/0,0/21/0/0/0/0/57/0,81,78,21,1
0/0/0/0/0/0/0/0,01HOOFD010/06VD010/05EIND010/01HOOFD110/09AHI010/01HOOFD370/01BB540/01HOOFD790,registersubmissiondaterequest/extendprocedureterm/terminateonrequest/treatsubcasescompleteness/article34WABOapplies/assessmentofcontentcompleted/objectionlodgedagainstdecision/closecase,G/G/G/G/G/G/G/G,560925/560925/560925/560925/560925/560925/560925/560925,ArtificialStartTask/01HOOFD/06VD/05EIND/01HOOFD/09AH/01HOOFD/01BB/01HOOFD/ArtificialEndTask,Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend,1/1/1/1/1/1/1/1,Kap/Kap/Kap/Kap/Kap/Kap/Kap/Kap,EMPTY/False/False/EMPTY/False/EMPTY/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560925/560925/560925/560925/560925/560925/560925/560925,560925/560872/560872/560872/560872/560872/560872/560872,0/1/23/0/0/0/0/57/0/0,0/0/0/0/21/0/0/0,0/21/0/0/0/0/57/0,81,78,21,1
1083.4236/1083.4236/1083.4236/1083.4236/1083.4236/1083.4236,01HOOFD010/06VD010/05EIND010/01HOOFD050/09AHI010/01HOOFD370,registersubmissiondaterequest/extendprocedureterm/terminateonrequest/applicantisstakeholder/article34WABOapplies/assessmentofcontentcompleted,O/O/O/O/O/O,560464/560464/560464/560464/560464/560464,ArtificialStartTask/01HOOFD/06VD/05EIND/01HOOFD/09AH/01HOOFD/ArtificialEndTask,Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend,1/1/1/1/1/1,Bouw/Bouw/Bouw/Bouw/Bouw/Bouw,EMPTY/False/False/True/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560872/560872/560872/560872/560872/560872,560872/560872/560872/560872/560890/560890,0/1/5/0/0/74/0/12,0/0/0/0/74/0,0/0/0/0/74/0,92,74,74,1
148.368/148.368/148.368/148.368/148.368/148.368/148.368,01HOOFD010/06VD010/01HOOFD100/05EIND010/01HOOFD180/09AHI010/01HOOFD375,registersubmissiondaterequest/extendprocedureterm/registrerdateofpublishingreceivedrequest/terminateonrequest/activitiesregularprocedure/article34WABOapplies/phaseadviceknown,O/O/O/O/O/O/O,560464/560464/560464/560464/560464/560464/560464,ArtificialStartTask/01HOOFD/06VD/01HOOFD/05EIND/01HOOFD/09AH/01HOOFD/ArtificialEndTask,Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend,1/1/1/1/1/1/1,Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw,EMPTY/False/EMPTY/False/True/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560872/560872/560872/560872/560872/560872/560464,560872/560872/560872/560872/560872/560890/560890,0/1/5/0/0/0/15/0/8,0/0/0/0/0/15/0,0/0/0/0/0/0/0,29,0,15,1
147.39854/147.39854/147.39854/147.39854/147.39854/147.39854,01HOOFD010/05EIND010/06VD010/01HOOFD250/09AHI010/01HOOFD375,registersubmissiondaterequest/terminateonrequest/extendprocedureterm/treatsubcasescontent/article34WABOapplies/phaseadviceknown,O/O/O/O/O/O,560464/560464/560464/560464/560464/560464,ArtificialStartTask/01HOOFD/05EIND/06VD/01HOOFD/09AH/01HOOFD/ArtificialEndTask,Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend,1/1/1/1/1/1,AanlegUitvoerenwerkofwerkzaamheid/AanlegUitvoerenwerkofwerkzaamheid/AanlegUitvoerenwerkofwerkzaamheid/AanlegUitvoerenwerkofwerkzaamheid/AanlegUitvoerenwerkofwerkzaamheid/AanlegUitvoerenwerkofwerkzaamheid,EMPTY/False/False/EMPTY/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560872/560872/560872/560872/560872/560464,560872/560890/560890/560890/560890/560890,0/1/50/0/0/0/0/12,0/0/0/46/0/0,0/46/0/0/0/0,63,46,46,1
4719.4175,01HOOFD010,registersubmissiondaterequest,G,4901428,ArtificialStartTask/01HOOFD/ArtificialEndTask,Besluitvernietigd,1,BouwMilieumelding,EMPTY,Termijntotbesluit,560912,560912,0/1/13,0,0,14,0,0,1
0/0,01HOOFD010/08AWB45010,registersubmissiondaterequest/termforsupplyingmissingdata,G/G,560912/560912,ArtificialStartTask/01HOOFD/08AWB45/ArtificialEndTask,Procedureafgebroken/Procedureafgebroken,1/1,BouwHandeleninstrijdmetregelsROSloop/BouwHandeleninstrijdmetregelsROSloop,EMPTY/EMPTY,Termijntotbesluit/Termijntotbesluit,560912/560912,560912/560881,0/1/31/43,0/27,0/27,75,27,27,1
4550.379/4550.379/4550.379/4550.379/4550.379,01HOOFD010/05EIND010/06VD010/09AHI010/01HOOFD375,registersubmissiondaterequest/terminateonrequest/extendprocedureterm/article34WABOapplies/phaseadviceknown,G/G/G/G/G,560464/560464/560464/560464/560464,ArtificialStartTask/01HOOFD/05EIND/06VD/09AH/01HOOFD/ArtificialEndTask,Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend,1/1/1/1/1,Bouw/Bouw/Bouw/Bouw/Bouw,EMPTY/False/False/False/EMPTY,Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit,560925/560925/560925/560925/560464,560925/560890/560890/560890/560890,0/1/35/0/0/0/2,0/0/0/27/0,0/33/0/0/0,38,33,27,1
0/0,01HOOFD010/05EIND020,registersubmissiondaterequest/enterdateterminationrequestreceived,G/G,560912/560912,ArtificialStartTask/01HOOFD/05EIND/ArtificialEndTask,Aanvraagontvankelijk/Aanvraagontvankelijk,1/1,Bouw/Bouw,EMPTY/EMPTY,EMPTY/EMPTY,560872/560872,560872/560912,0/1/55/20,0/67,0/67,76,67,67,1
116.79765/116.79765/116.79765/116.79765/116.79765/116.79765,01HOOFD010/09AHI010/01HOOFD370/05EIND010/06VD010/01HOOFD430,registersubmissiondaterequest/article34WABOapplies/assessmentofcontentcompleted/terminateonrequest/extendprocedureterm/askstakeholdersviews,G/G/G/G/G/G,4901428/4901428/4901428/4901428/4901428/4901428,ArtificialStartTask/01HOOFD/09AH/01HOOFD/05EIND/06VD/01HOOFD/ArtificialEndTask,Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend,1/1/1/1/1/1,Sloop/Sloop/Sloop/Sloop/Sloop/Sloop,EMPTY/False/EMPTY/False/False/False,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560872/560872/560872/560872/560872/560872,560872/560881/560881/560890/560890/560890,0/1/25/0/0/0/0/8,0/19/0/-19/0/19,0/19/0/0/0/0,34,19,19,1
241.3256/241.3256/241.3256/241.3256/241.3256/241.3256/241.3256/241.3256/241.3256/241.3256/241.3256/241.3256,01HOOFD010/08AWB450202/01HOOFD110/08AWB45010/01HOOFD050/08AWB45030/01HOOFD130/05EIND010/06VD010/01HOOFD180/09AHI010/01HOOFD370,registersubmissiondaterequest/entersenddateretrievemissingdata/treatsubcasescompleteness/termforsupplyingmissingdata/applicantisstakeholder/receiveadditionalinformation/WAWpermitaspect/terminateonrequest/extendprocedureterm/activitiesregularprocedure/article34WABOapplies/assessmentofcontentcompleted,G/G/G/G/G/G/G/G/G/G/G/G,4901428/4901428/4901428/4901428/4901428/4901428/4901428/4901428/4901428/4901428/4901428/4901428,ArtificialStartTask/01HOOFD/08AWB45/01HOOFD/08AWB45/01HOOFD/08AWB45/01HOOFD/05EIND/06VD/01HOOFD/09AH/01HOOFD/ArtificialEndTask,Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend,1/1/1/1/1/1/1/1/1/1/1/1,Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw,EMPTY/EMPTY/EMPTY/EMPTY/True/True/False/False/False/True/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560872/560872/560872/560872/560872/560872/560872/560872/560872/560872/560872/560872,560872/560881/560881/560881/560912/560912/560912/560890/560890/560890/560890/560890,0/1/21/0/0/30/0/0/13/0/0/0/0/8,0/18/-18/18/-18/18/30/-48/0/49/12/0,0/18/0/0/30/0/0/13/0/0/0/0,73,61,61,1
0/0/0/0/0/0/0/0/0/0,01HOOFD010/05EIND020/01HOOFD0652/05EIND0302/01HOOFD060/05EIND010/01HOOFD100/06VD010/05EIND060/01HOOFD120,registersubmissiondaterequest/enterdateterminationrequestreceived/entersenddateprocedureconfirmation/registerdatedecisionterminateonrequest/regularprocedurewithoutMER/terminateonrequest/registrerdateofpublishingreceivedrequest/extendprocedureterm/stopprocessafterterminateonrequest/subcasescompletenesscompleted,G/G/G/G/G/G/G/G/G/G,560912/560912/560912/560912/560912/560912/560912/560912/560912/560912,ArtificialStartTask/01HOOFD/05EIND/01HOOFD/05EIND/01HOOFD/05EIND/01HOOFD/06VD/05EIND/01HOOFD/ArtificialEndTask,Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken,1/1/1/1/1/1/1/1/1/1,Brandveiliggebruikmelding/Brandveiliggebruikmelding/Brandveiliggebruikmelding/Brandveiliggebruikmelding/Brandveiliggebruikmelding/Brandveiliggebruikmelding/Brandveiliggebruikmelding/Brandveiliggebruikmelding/Brandveiliggebruikmelding/Brandveiliggebruikmelding,EMPTY/EMPTY/EMPTY/EMPTY/True/True/EMPTY/False/EMPTY/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560872/560872/560872/560872/560872/560872/560872/560872/560872/560872,560872/560872/560872/560872/560872/560872/560872/560872/560872/560872,0/1/15/4/0/0/0/0/0/0/0/0,0/14/0/0/-14/14/0/0/0/0,0/14/0/0/0/0/0/0/0/0,20,14,14,1
